"시군구별","용도지역및이용현황별","항목","단위","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월",
"용산구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","전","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","답","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","주거용(대)","지가변동률[%]","%","1.163","1.251","1.148",".959",".878",".801",".572","-.309","-3.853","-4.557","-1.173","-.588","-.108",".291",".319",".291",".326",".731",".752",".551",
"용산구","상업용(대)","지가변동률[%]","%","1.064","1.133","1.007",".976",".77",".759",".64","-.204","-3.091","-3.596","-.867","-.512","-.099",".262",".171",".252",".211",".567",".539",".398",
"용산구","임야","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","공장용지","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","평균","지가변동률[%]","%","1.048","1.102","1.1",".942",".813",".722",".592","-.144","-2.438","-4.284","-1.255","-.565","-.041",".296",".302",".356",".333",".803",".509",".419",
"성동구","주거지역","지가변동률[%]","%","1.045","1.074","1.056",".865",".597",".619",".547","-.152","-2.598","-4.038","-1.25","-.555",".036",".332",".345",".388",".357",".843",".549",".482",
"성동구","상업지역","지가변동률[%]","%","1.127","1.182","1.078",".927",".548",".602",".516","-.439","-3.163","-4.381","-1.699","-.961","-.856","-.116","-.232",".156",".411",".359",".19",".055",
"성동구","공업지역","지가변동률[%]","%","1.044","1.182","1.251","1.212","1.588","1.089",".752","-.066","-1.78","-5.082","-1.193","-.528","-.164",".243",".243",".282",".242",".741",".427",".271",
"성동구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","전","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","답","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"성동구","주거용(대)","지가변동률[%]","%","1.093","1.138","1.098",".888",".617",".62",".559","-.127","-2.493","-4.021","-1.207","-.539",".038",".336",".353",".345",".344",".882",".596",".477",
"성동구","상업용(대)","지가변동률[%]","%",".982","1.005",".983",".871",".672",".594",".563","-.238","-2.641","-4.471","-1.393","-.654","-.221",".201",".181",".374",".354",".64",".381",".34",
"성동구","임야","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
